"bias_type","k_scenario","true_effect","true_tau","n_sims","naive_bias","naive_rmse","naive_mae","tf_bias","tf_rmse","tf_mae","tf_convergence","pp_bias","pp_rmse","pp_mae","pp_convergence","pp_pct_peese","pp_pct_negative_intercept","copas_bias","copas_rmse","copas_mae","copas_convergence","naive_tau2_bias","tf_tau2_bias","pp_tau2_bias","copas_tau2_bias","naive_pi_width","tf_pi_width","pp_pi_width","copas_pi_width","naive_coverage","naive_coverage_se","tf_coverage","tf_coverage_se","pp_coverage","pp_coverage_se","copas_coverage","copas_coverage_se"
"continuous",20,0.3,0.3,100,0.0699080873166953,0.131140091979761,0.106174937320078,0.0454408071048233,0.13190433981496,0.106625536751943,1,-0.770718363583541,1.79108870489276,1.46439219326061,1,0.08,0.63,-0.0115799011995133,0.191510191288985,0.151434748957551,1,0.0172988702431134,0.02724395833502,0.0144927850683783,0.00699134890972384,1.44514058087896,1.50089105485919,7.7611019241938,1.51474107060606,0.98,0.014,0.98,0.014,0.95,0.0217944947177034,0.97,0.017058722109232
"continuous",20,0.3,0.5,100,0.0833144911512881,0.183163776385074,0.146018654991454,0.0457453513248922,0.172925217815686,0.138378118034281,1,-1.51723001321272,2.7829342653255,2.4619229859575,1,0.16,0.74,-0.060806891666763,0.264650781417105,0.224006309087896,1,0.0524077366295349,0.0788961984888824,0.026045705327993,0.0358527447578709,2.43553989907565,2.51790631314152,10.1449429839131,2.54088978785184,1,0,1,0,0.95,0.0217944947177034,0.99,0.0099498743710662
"continuous",20,0.5,0.1,100,0.0525199577125473,0.0742969948299831,0.0608185428961756,0.0497139426702775,0.0735007419145186,0.0590728337999934,1,-0.118419363513564,0.83073799501612,0.665213602576592,1,0.04,0.32,0.0290428346567691,0.0802572919770962,0.0666892886316131,0.99,0.000536820980288489,0.00191934166453658,0.000995045409563934,0.00225627449369929,0.448667880302646,0.467930406188339,4.33873284843722,0.579221779088017,0.95,0.0217944947177034,0.95,0.0217944947177034,0.97,0.017058722109232,0.94,0.0238683256575942
"continuous",20,0.5,0.3,100,0.0759933697505564,0.119626163784828,0.0927011708704937,0.05752471481907,0.114256703740263,0.0883367127431389,1,-0.94995932130792,1.62091779358159,1.36193982769358,1,0.1,0.68,0.0351228246429142,0.153687157276897,0.123804001289709,1,-0.0106529844992602,-0.00186524751740877,-0.0185622476714334,-0.00939571744451674,1.21630511018826,1.26774329903288,5.92013442087169,1.33618997398411,0.99,0.0099498743710662,0.99,0.0099498743710662,0.92,0.0271293199325011,0.99,0.0099498743710662
"continuous",20,0.5,0.5,100,0.0753371039171494,0.181587237936642,0.146045579063434,0.0400585175431528,0.179347067147629,0.143433688160374,1,-1.6119292209589,2.59260281900045,2.2241474112541,1,0.28,0.78,-0.0599835682702955,0.275933399051246,0.218853569060088,1,0.0112168509736207,0.0303811051716455,-0.0307594579037217,0.0170575151445513,2.23583205739803,2.29675585081106,8.16825179525958,2.43331204785946,1,0,1,0,0.75,0.0433012701892219,1,0
"continuous",20,0.8,0.1,100,0.0184339710451178,0.0593965602751118,0.0488816941892145,0.0155848705421067,0.0671654816274675,0.0537837126859244,1,-0.325857721291878,0.762617280393761,0.594138605874277,1,0.09,0.23,0.0122015723554789,0.0627658027572813,0.0537990178876046,0.9,0.00116814941052022,0.00406885650701514,0.00168764345935602,0.00167365344389188,0.447341449654565,0.494419062159603,3.76311276141432,0.570055782067944,0.99,0.0099498743710662,0.99,0.0099498743710662,0.97,0.017058722109232,0.45,0.0524404424085076
"continuous",20,0.8,0.3,100,0.0489839219555619,0.102275876850242,0.0825366506218132,0.0390011646641032,0.103393892736895,0.0845348719008107,1,-1.31814334451276,1.6675108861922,1.47752074976334,1,0.11,0.76,-0.00944819004592341,0.211326937710783,0.109145340813606,0.99,-0.0245817229999753,-0.0191160388586534,-0.0342809431075939,-0.00430193993265496,1.10360043346361,1.14000002634901,4.97045089651826,1.4782514710466,1,0,1,0,0.79,0.0407308237088326,0.84,0.0368452949177471
"continuous",20,0.8,0.5,100,0.0760821626459664,0.154152360441497,0.130161311259896,0.0518174352793513,0.155330207636206,0.131921653503742,1,-2.27555903007816,2.48765877573914,2.31983012181296,1,0.39,0.96,0.0225878198184842,0.206976490763739,0.164299783759725,1,-0.0356883699412002,-0.0234170711434538,-0.103052268412413,-0.0249976179106987,1.99963075277668,2.04680404912681,5.69792640900777,2.17078262158005,1,0,1,0,0.54,0.0498397431775085,0.98,0.014
"continuous",50,0.3,0.1,100,0.0534424821182805,0.0678085145174196,0.0587412859611268,0.0341144209871422,0.0634902171843782,0.0510321231013717,1,-0.125717923203262,0.617271870676835,0.514346651151386,1,0.05,0.41,0.023561265244294,0.0760881060891817,0.0580735743229411,1,0.00522922035668819,0.0104882256495534,0.0050551527482275,0.00438741654127991,0.482117857699227,0.557393439239018,2.75790735479406,0.52913817622675,0.92,0.0271293199325011,0.94,0.0237486841740758,0.94,0.0237486841740758,0.96,0.0195959179422654
"continuous",50,0.3,0.3,100,0.0699351696558957,0.0970796181331295,0.0789679507781544,0.0125987643020379,0.0815814379857943,0.0663395916632695,1,-0.758306061700111,1.06189252008253,0.892331856101594,1,0.1,0.71,-0.00291982126827465,0.100411616360377,0.078735026945174,1,0.0133253657932012,0.0384240964570519,0.0105034802921071,0.0119313453384671,1.31575058865139,1.45195266308911,4.26112804483105,1.35508814757429,1,0,1,0,0.9,0.03,1,0
