"bias_strength","true_effect","true_tau","n_sims","naive_bias","tf_bias","pp_bias","naive_pi_width","tf_pi_width","pp_pi_width","naive_coverage","tf_coverage","pp_coverage"
"mild",0.3,0.1,100,0.0330440247716156,0.0314109931851573,-0.0410107232130575,0.512542714958599,0.549204458486784,4.42709178689004,0.99,1,0.98
"mild",0.3,0.3,100,0.0313189852831167,0.0189476093209839,-0.741010203128116,1.31678991636357,1.34722288166832,6.3553160810235,0.98,0.98,0.94
"mild",0.5,0.1,100,0.013528577041478,0.0109370207238858,-0.16126303395297,0.500422571121281,0.548497585652609,4.0081956534333,0.99,0.99,0.94
"mild",0.5,0.3,100,0.0195381338044929,0.00265680343741201,-1.01721524328516,1.23840062748138,1.27971257517946,5.59119491203876,0.99,0.99,0.87
"moderate",0.3,0.1,100,0.0523431408454491,0.0446889031875336,-0.200687301806893,0.606409561662846,0.641394007800904,5.25862813362025,0.97,0.99,1
"moderate",0.3,0.3,100,0.0730202799390712,0.0499025205926083,-0.726287438412735,1.50017530826017,1.54790324062715,8.07932142959992,0.99,0.99,0.92
"moderate",0.5,0.1,100,0.0417271700172948,0.0273078884704255,-0.229763837237892,0.36630153494176,0.422622709301324,3.95393537378239,0.92,0.91,0.98
"moderate",0.5,0.3,100,0.0652748820693471,0.0386583191709457,-0.940267496662629,1.20088811045154,1.261261835388,5.73448655553948,0.98,0.98,0.85
"none",0.3,0.1,100,-0.00472979800661009,-0.00423890834417093,-0.126892833157764,0.485986932955912,0.543297892700976,3.51671418205109,0.99,0.99,0.94
"none",0.3,0.3,100,-0.0072200853826777,-0.0166799205612757,-0.616198595711143,1.23257900359402,1.28225966310666,5.1706507883991,0.99,1,0.9
"none",0.5,0.1,100,-0.00539374556277396,-0.00796580961328638,-0.077540350995279,0.452109670514587,0.519859243475824,3.43208350658379,0.98,0.98,0.92
"none",0.5,0.3,100,0.00484260091332245,-0.0109006025838262,-1.0136571330198,1.31395835433378,1.35400777143439,5.58984931444735,1,1,0.91
"severe",0.3,0.1,100,0.135622410310329,0.120804967392335,-0.0605326574891722,0.664225900411986,0.683781043384021,7.70650076555497,0.78,0.8,0.99
"severe",0.3,0.3,100,0.156106100581816,0.124953282662464,-0.57824405600398,1.46392964175848,1.51175227667977,8.7251634575581,0.9,0.9,0.95
"severe",0.5,0.1,100,0.0890378656099893,0.0867815045938651,-0.287699935647715,0.320533499686882,0.338941318579384,3.96606176891278,0.77,0.75,0.97
"severe",0.5,0.3,100,0.154540041482502,0.129311834070457,-0.809952331021029,1.0341035565196,1.09580437208426,5.69360415467216,0.9,0.91,0.88
