"true_effect","true_tau","k_total","k_published","k_unpublished","naive_effect","naive_tau2","naive_pi_lower","naive_pi_upper","naive_pi_width","true_ma_effect","true_ma_tau2","true_pi_lower","true_pi_upper","true_pi_width","tf_effect","tf_tau2","tf_k_imputed","tf_pi_lower","tf_pi_upper","tf_pi_width","pp_effect","pp_tau2","pp_method","pp_pi_lower","pp_pi_upper","pp_pi_width","naive_pi_covers_true","tf_pi_covers_true","pp_pi_covers_true","true_pi_covers_true","scenario_id","bias_strength_factor"
0.3,0.1,20,20,0,0.319561995433122,0.0203744919368748,-0.00245177496216903,0.641575765828413,0.644027540790582,0.319561995433122,0.0203744919368748,-0.00245177496216903,0.641575765828413,0.644027540790582,0.242820746476145,0.0268950258595369,6,-0.112063712620629,0.597705205572919,0.709768918193548,0.205050148914408,0.0238869843265127,"PET",-1.64905800048663,2.05915829831544,3.70821629880207,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.315518510639536,0.0191844697500324,0.00229232705810062,0.628744694220972,0.626452367162872,0.315518510639536,0.0191844697500324,0.00229232705810062,0.628744694220972,0.626452367162872,0.315518510639536,0.0191844697500324,0,0.00229232705810062,0.628744694220972,0.626452367162872,-0.254460007320657,0.0208567273112521,"PET",-1.88970001015828,1.38077999551697,3.27048000567526,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.290409916405729,0.0115378243202277,0.0394142085202733,0.541405624291185,0.501991415770912,0.290409916405729,0.0115378243202277,0.0394142085202733,0.541405624291185,0.501991415770912,0.290409916405729,0.0115378243202277,0,0.0394142085202733,0.541405624291185,0.501991415770912,-0.0233478488259532,0.0145893738821771,"PET",-1.99960151840997,1.95290582075806,3.95250733916803,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.281438359155661,0,0.183638319247969,0.379238399063353,0.195600079815385,0.281438359155661,0,0.183638319247969,0.379238399063353,0.195600079815385,0.29209246513466,0,1,0.196913422757969,0.387271507511352,0.190358084753383,0.412463724556732,0,"PET",-1.114107425905,1.93903487501847,3.05314230092347,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.290602703655688,0.0286940804630362,-0.0863273232680172,0.667532730579394,0.753860053847411,0.290602703655688,0.0286940804630362,-0.0863273232680172,0.667532730579394,0.753860053847411,0.290602703655688,0.0286940804630362,0,-0.0863273232680172,0.667532730579394,0.753860053847411,-0.884933470779988,0.023622277638649,"PET",-2.53538940269478,0.765522461134804,3.30091186382958,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.288641704663198,0,0.193338658954104,0.383944750372293,0.19060609141819,0.288641704663198,0,0.193338658954104,0.383944750372293,0.19060609141819,0.255662878117378,0,2,0.16562256613972,0.345703190095037,0.180080623955317,-0.464346205066693,0,"PET",-1.98932782234706,1.06063541221368,3.04996323456074,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.232671159934145,0.0112113592776765,-0.0146826114509275,0.480024931319218,0.494707542770146,0.232671159934145,0.0112113592776765,-0.0146826114509275,0.480024931319218,0.494707542770146,0.232671159934145,0.0112113592776765,0,-0.0146826114509275,0.480024931319218,0.494707542770146,0.682790357950591,0.0131862079584966,"PET",-0.908659424463917,2.2742401403651,3.18289956482901,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.254560256429496,0.0236858239334887,-0.0902855911548859,0.599406104013877,0.689691695168763,0.254560256429496,0.0236858239334887,-0.0902855911548859,0.599406104013877,0.689691695168763,0.204374388205402,0.0329091318165654,3,-0.19109612570919,0.599844902119994,0.790941027829185,-1.47940140992796,0.0179253161898425,"PET",-3.56001261193493,0.601209792079011,4.16122240401394,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.278105280028599,0.0388003387344828,-0.156961789756456,0.713172349813654,0.87013413957011,0.278105280028599,0.0388003387344828,-0.156961789756456,0.713172349813654,0.87013413957011,0.278105280028599,0.0388003387344828,0,-0.156961789756456,0.713172349813654,0.87013413957011,0.136166006518008,0.043274122385031,"PET",-1.84014280783721,2.11247482087323,3.95261762871044,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.275373667151508,0,0.179323778375141,0.371423555927875,0.192099777552733,0.275373667151508,0,0.179323778375141,0.371423555927875,0.192099777552733,0.240197053494309,0,3,0.15081253388524,0.329581573103379,0.178769039218138,-0.681210257792298,0,"PET",-2.33222398667313,0.969803471088537,3.30202745776167,TRUE,TRUE,TRUE,TRUE,1,"none"
